plate,well,image,model_count,mcount_count,nice_count,true_count,has_invalid_segment,abs_pct_error,signed_pct_error,mcount_abs_pct_error,mcount_signed_pct_error,nice_abs_pct_error,nice_signed_pct_error,is_training_well
image_2,D8,image_2__D8.jpg,21,21,16,19,True,,,,,,,False
image_2,D9,image_2__D9.jpg,30,31,25,27,True,,,,,,,False
image_2,D10,image_2__D10.jpg,16,16,13,15,True,,,,,,,False
image_2,D11,image_2__D11.jpg,9,9,8,10,False,10.0,-10.0,10.0,-10.0,20.0,-20.0,False
image_2,D12,image_2__D12.jpg,13,12,11,12,True,,,,,,,False
image_2,E1,image_2__E1.jpg,23,23,21,23,False,0.0,0.0,0.0,0.0,8.695652173913043,-8.695652173913043,False
image_2,E2,image_2__E2.jpg,26,24,21,27,False,3.7037037037037033,-3.7037037037037033,11.11111111111111,-11.11111111111111,22.22222222222222,-22.22222222222222,False
image_2,E3,image_2__E3.jpg,12,12,12,12,False,0.0,0.0,0.0,0.0,0.0,0.0,False
image_2,E4,image_2__E4.jpg,16,16,15,15,True,,,,,,,False
image_2,E5,image_2__E5.jpg,18,18,16,18,False,0.0,0.0,0.0,0.0,11.11111111111111,-11.11111111111111,False
image_2,E6,image_2__E6.jpg,27,25,18,23,True,,,,,,,False
image_2,E7,image_2__E7.jpg,24,24,21,17,True,,,,,,,False
image_2,E8,image_2__E8.jpg,32,33,29,33,False,3.0303030303030303,-3.0303030303030303,0.0,0.0,12.121212121212121,-12.121212121212121,False
image_2,E9,image_2__E9.jpg,23,25,20,17,True,,,,,,,False
image_2,E10,image_2__E10.jpg,7,7,7,7,False,0.0,0.0,0.0,0.0,0.0,0.0,False
image_2,E11,image_2__E11.jpg,19,20,16,16,True,,,,,,,False
image_2,E12,image_2__E12.jpg,10,10,9,9,True,,,,,,,False
image_2,F1,image_2__F1.jpg,19,19,16,20,False,5.0,-5.0,5.0,-5.0,20.0,-20.0,False
image_2,F2,image_2__F2.jpg,17,18,16,18,False,5.555555555555555,-5.555555555555555,0.0,0.0,11.11111111111111,-11.11111111111111,False
image_2,F3,image_2__F3.jpg,29,27,19,28,False,3.571428571428571,3.571428571428571,3.571428571428571,-3.571428571428571,32.142857142857146,-32.142857142857146,False
image_2,F4,image_2__F4.jpg,26,26,23,23,True,,,,,,,False
image_2,F5,image_2__F5.jpg,17,17,16,17,False,0.0,0.0,0.0,0.0,5.88235294117647,-5.88235294117647,False
image_2,F6,image_2__F6.jpg,34,34,25,27,True,,,,,,,False
image_2,F7,image_2__F7.jpg,23,23,20,21,True,,,,,,,False
image_2,F8,image_2__F8.jpg,32,34,26,31,True,,,,,,,False
image_2,F9,image_2__F9.jpg,21,22,20,19,True,,,,,,,False
image_2,F10,image_2__F10.jpg,14,14,14,14,False,0.0,0.0,0.0,0.0,0.0,0.0,False
image_2,F11,image_2__F11.jpg,18,18,17,19,False,5.263157894736842,-5.263157894736842,5.263157894736842,-5.263157894736842,10.526315789473683,-10.526315789473683,False
image_2,F12,image_2__F12.jpg,17,18,14,16,True,,,,,,,False
image_2,G1,image_2__G1.jpg,26,27,23,28,False,7.142857142857142,-7.142857142857142,3.571428571428571,-3.571428571428571,17.857142857142858,-17.857142857142858,False
image_2,G2,image_2__G2.jpg,25,24,19,25,False,0.0,0.0,4.0,-4.0,24.0,-24.0,False
image_2,G3,image_2__G3.jpg,24,24,21,24,False,0.0,0.0,0.0,0.0,12.5,-12.5,False
image_2,G4,image_2__G4.jpg,13,13,12,13,False,0.0,0.0,0.0,0.0,7.6923076923076925,-7.6923076923076925,False
image_2,G5,image_2__G5.jpg,29,29,26,30,False,3.3333333333333335,-3.3333333333333335,3.3333333333333335,-3.3333333333333335,13.333333333333334,-13.333333333333334,False
image_2,G6,image_2__G6.jpg,20,20,17,18,True,,,,,,,False
image_2,G7,image_2__G7.jpg,17,20,18,16,True,,,,,,,False
image_2,G8,image_2__G8.jpg,22,22,19,20,True,,,,,,,False
image_2,G9,image_2__G9.jpg,22,21,18,21,True,,,,,,,False
image_2,G10,image_2__G10.jpg,23,23,17,19,True,,,,,,,False
image_2,G11,image_2__G11.jpg,20,19,15,17,True,,,,,,,False
image_2,G12,image_2__G12.jpg,21,22,18,18,True,,,,,,,False
image_2,H1,image_2__H1.jpg,20,20,19,20,False,0.0,0.0,0.0,0.0,5.0,-5.0,False
image_2,H2,image_2__H2.jpg,23,23,21,23,False,0.0,0.0,0.0,0.0,8.695652173913043,-8.695652173913043,False
image_2,H3,image_2__H3.jpg,25,25,21,25,False,0.0,0.0,0.0,0.0,16.0,-16.0,False
image_2,H4,image_2__H4.jpg,30,28,25,25,True,,,,,,,False
image_2,H5,image_2__H5.jpg,20,20,20,19,True,,,,,,,False
image_2,H6,image_2__H6.jpg,8,8,9,8,False,0.0,0.0,0.0,0.0,12.5,12.5,False
image_2,H7,image_2__H7.jpg,19,20,19,20,False,5.0,-5.0,0.0,0.0,5.0,-5.0,False
image_2,H8,image_2__H8.jpg,31,29,24,31,False,0.0,0.0,6.451612903225806,-6.451612903225806,22.58064516129032,-22.58064516129032,False
image_2,H9,image_2__H9.jpg,23,22,18,22,True,,,,,,,False
image_2,H10,image_2__H10.jpg,16,16,13,14,True,,,,,,,False
image_2,H11,image_2__H11.jpg,22,23,19,20,True,,,,,,,False
image_2,H12,image_2__H12.jpg,15,14,13,15,False,0.0,0.0,6.666666666666667,-6.666666666666667,13.333333333333334,-13.333333333333334,False
image_3,A1,image_3__A1.jpg,48,44,34,49,False,2.0408163265306123,-2.0408163265306123,10.204081632653061,-10.204081632653061,30.612244897959183,-30.612244897959183,False
image_3,A2,image_3__A2.jpg,41,37,30,38,True,,,,,,,False
image_3,A3,image_3__A3.jpg,33,32,23,18,True,,,,,,,False
image_3,A4,image_3__A4.jpg,48,49,33,42,True,,,,,,,False
image_3,A5,image_3__A5.jpg,22,26,17,18,True,,,,,,,False
image_3,A6,image_3__A6.jpg,28,28,20,25,True,,,,,,,False
image_3,A7,image_3__A7.jpg,43,41,29,41,True,,,,,,,False
image_3,A8,image_3__A8.jpg,41,42,28,26,True,,,,,,,False
image_3,A9,image_3__A9.jpg,36,38,26,18,True,,,,,,,False
image_3,A10,image_3__A10.jpg,35,38,30,26,True,,,,,,,False
image_3,A11,image_3__A11.jpg,28,30,25,26,True,,,,,,,False
image_3,A12,image_3__A12.jpg,37,34,25,35,True,,,,,,,False
image_3,B1,image_3__B1.jpg,52,44,38,52,False,0.0,0.0,15.384615384615385,-15.384615384615385,26.923076923076923,-26.923076923076923,False
image_3,B2,image_3__B2.jpg,56,54,38,62,False,9.67741935483871,-9.67741935483871,12.903225806451612,-12.903225806451612,38.70967741935484,-38.70967741935484,False
image_3,B3,image_3__B3.jpg,43,41,31,38,True,,,,,,,False
image_3,B4,image_3__B4.jpg,44,41,32,43,True,,,,,,,False
image_3,B5,image_3__B5.jpg,35,31,23,22,True,,,,,,,False
image_3,B6,image_3__B6.jpg,41,40,29,35,True,,,,,,,False
image_3,B7,image_3__B7.jpg,28,31,22,24,True,,,,,,,False
image_3,B8,image_3__B8.jpg,35,37,23,20,True,,,,,,,False
image_3,B9,image_3__B9.jpg,36,36,27,33,True,,,,,,,False
image_3,B10,image_3__B10.jpg,31,31,21,24,True,,,,,,,False
image_3,B11,image_3__B11.jpg,29,29,20,16,True,,,,,,,False
image_3,B12,image_3__B12.jpg,34,32,25,29,True,,,,,,,False
image_3,C1,image_3__C1.jpg,0,0,0,0,False,,,,,,,False
image_3,C2,image_3__C2.jpg,55,53,36,48,True,,,,,,,False
image_3,C3,image_3__C3.jpg,53,51,36,52,True,,,,,,,False
image_3,C4,image_3__C4.jpg,39,40,28,37,True,,,,,,,False
image_3,C5,image_3__C5.jpg,37,39,30,35,True,,,,,,,False
image_3,C6,image_3__C6.jpg,36,35,30,27,True,,,,,,,False
image_3,C7,image_3__C7.jpg,38,36,28,27,True,,,,,,,False
image_3,C8,image_3__C8.jpg,64,58,39,57,True,,,,,,,False
image_3,C9,image_3__C9.jpg,26,27,19,20,True,,,,,,,False
image_3,C10,image_3__C10.jpg,27,29,21,22,True,,,,,,,False
image_3,C11,image_3__C11.jpg,33,34,28,27,True,,,,,,,False
image_3,C12,image_3__C12.jpg,30,33,25,30,True,,,,,,,False
image_3,D1,image_3__D1.jpg,56,52,36,40,True,,,,,,,False
image_3,D2,image_3__D2.jpg,36,34,24,37,False,2.7027027027027026,-2.7027027027027026,8.108108108108109,-8.108108108108109,35.13513513513514,-35.13513513513514,False
image_3,D3,image_3__D3.jpg,51,50,33,49,True,,,,,,,False
image_3,D4,image_3__D4.jpg,56,52,37,39,True,,,,,,,False
image_3,D5,image_3__D5.jpg,57,55,43,50,True,,,,,,,False
image_3,D6,image_3__D6.jpg,36,37,30,30,True,,,,,,,False
image_3,D7,image_3__D7.jpg,53,52,34,45,True,,,,,,,False
image_3,D8,image_3__D8.jpg,38,34,24,25,True,,,,,,,False
image_3,D9,image_3__D9.jpg,53,52,38,47,True,,,,,,,False
image_3,D10,image_3__D10.jpg,52,47,41,43,True,,,,,,,False
image_3,D11,image_3__D11.jpg,33,33,26,27,True,,,,,,,False
image_3,D12,image_3__D12.jpg,35,35,26,31,True,,,,,,,False
